"time_varying_cycle","agegrp","sex","distribution","param1","param2"
52,"10_19","Female","norm",0.108410841084108,0
52,"10_19","Male","norm",0.205420542054205,0
52,"20_24","Female","norm",0.0851085108510851,0
52,"20_24","Male","norm",0.24972497249725,0
52,"25_34","Female","norm",0.068006800680068,0
52,"25_34","Male","norm",0.225022502250225,0
52,"35_49","Female","norm",0.0164016401640164,0
52,"35_49","Male","norm",0.0419041904190419,0
52,"50_99","Female","norm",0,0
52,"50_99","Male","norm",0,0
104,"10_19","Female","norm",0.0925814837032593,0
104,"10_19","Male","norm",0.216456708658268,0
104,"20_24","Female","norm",0.094881023795241,0
104,"20_24","Male","norm",0.210357928414317,0
104,"25_34","Female","norm",0.0586882623475305,0
104,"25_34","Male","norm",0.215856828634273,0
104,"35_49","Female","norm",0.0383923215356929,0
104,"35_49","Male","norm",0.0563887222555489,0
104,"50_99","Female","norm",0,0
104,"50_99","Male","norm",0.0163967206558688,0
156,"10_19","Female","norm",0.0663,0
156,"10_19","Male","norm",0.2289,0
156,"20_24","Female","norm",0.0943,0
156,"20_24","Male","norm",0.1478,0
156,"25_34","Female","norm",0.1459,0
156,"25_34","Male","norm",0.2382,0
156,"35_49","Female","norm",0.0213,0
156,"35_49","Male","norm",0.0512,0
156,"50_99","Female","norm",0,0
156,"50_99","Male","norm",0.0061,0
